name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
acc-only (Firdaus),0.85,0.88,0.7857142857142857,0.8301886792452831,0.9229910714285714,1.2517570000018168,0.0,False,False,True,True,"accepted=67, rej_norm=0, rej_acc=53, rej_rep=0, rej_attacker=5"
+norm only,0.6833333333333333,0.6956521739130435,0.5714285714285714,0.6274509803921569,0.8526785714285714,1.2496395999987726,0.0,False,False,True,True,"accepted=100, rej_norm=20, rej_acc=0, rej_rep=0, rej_attacker=20"
+rep only,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9229910714285714,1.292203299999528,0.0,False,False,True,True,"accepted=67, rej_norm=0, rej_acc=53, rej_rep=0, rej_attacker=5"
+DP only,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9241071428571428,1.2867009999972652,0.0,False,False,True,True,"accepted=67, rej_norm=0, rej_acc=53, rej_rep=0, rej_attacker=5"
full (norm+rep+DP+acc),0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9598214285714286,1.2145865000020422,0.0,False,False,True,True,"accepted=43, rej_norm=3, rej_acc=48, rej_rep=26, rej_attacker=29"
