name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Hybrid-Full (0 Byzantine (clean)),0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9397321428571428,92.47722569999678,52746.228515625,False,False,True,True,"rounds=5, n_clients=4, n_edges=4, f=1, byzantine=None, accepted=20, rej_sig=0, rej_norm=0, rej_acc=0, rej_rep=0, consensus_fail=0, chain_blocks=11, enc_infer=0.00s"
"Hybrid-Full (1/4 silent (crash, within f=1))",0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9397321428571428,93.78976390000025,52755.8115234375,False,False,True,True,"rounds=5, n_clients=4, n_edges=4, f=1, byzantine={3: 'silent'}, accepted=20, rej_sig=0, rej_norm=0, rej_acc=0, rej_rep=0, consensus_fail=0, chain_blocks=11, enc_infer=0.00s"
Hybrid-Full (1/4 lying-prepare (within f=1)),0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9397321428571428,92.33138809999946,52745.80078125,False,False,True,True,"rounds=5, n_clients=4, n_edges=4, f=1, byzantine={2: 'lying_prepare'}, accepted=20, rej_sig=0, rej_norm=0, rej_acc=0, rej_rep=0, consensus_fail=0, chain_blocks=11, enc_infer=0.00s"
"Hybrid-Full (2/4 silent (exceeds f=1, must fail))",0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,0.5,119.6535229000001,28308.064453125,False,False,True,True,"rounds=5, n_clients=4, n_edges=4, f=1, byzantine={2: 'silent', 3: 'silent'}, accepted=20, rej_sig=0, rej_norm=0, rej_acc=0, rej_rep=0, consensus_fail=10, chain_blocks=1, enc_infer=0.00s"
