name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Only Blockchain,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9229910714285714,0.03349649999995563,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,0.032767600000170205,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8638392857142857,0.03686510000011367,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8485185185185186,0.06148169999983111,43.171875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.8225925925925927,0.02058630000010453,43.171875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8624074074074073,0.04412469999988389,43.171875,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9973544973544973,0.07186400000000503,110.1953125,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9957010582010581,0.03639659999998912,110.1953125,True,True,True,True,"chain_blocks=3, accepted=4"
Only Blockchain,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9953703703703703,0.03391569999985222,110.1953125,True,True,True,True,"chain_blocks=3, accepted=4"
Only FL,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9207589285714286,0.14750839999987875,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9497767857142857,0.15186450000010154,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8683035714285714,0.1322735000001103,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8485185185185186,0.1327089999999771,16.875,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.8175925925925926,0.10858480000001691,16.875,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.7662337662337663,0.7045454545454546,0.5740740740740741,0.6326530612244898,0.8624074074074074,0.09121150000009948,16.875,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9970238095238094,0.1460548000000017,58.125,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.996031746031746,0.14274000000000342,58.125,False,True,False,False,"rounds=30, local_epochs=5"
Only FL,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9937169312169312,0.12502139999992323,58.125,False,True,False,False,"rounds=30, local_epochs=5"
Only HE,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9229910714285714,1.8175825999999233,39186.9140625,True,True,False,False,"train=0.01s, enc_infer=1.80s, ct_size=326.6 KiB"
Only HE,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,1.6760730000000876,39194.53125,True,True,False,False,"train=0.02s, enc_infer=1.66s, ct_size=326.6 KiB"
Only HE,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8638392857142857,1.9019969999999375,39194.8828125,True,True,False,False,"train=0.01s, enc_infer=1.89s, ct_size=326.6 KiB"
Only HE,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8485185185185186,3.6952046000001246,100532.5234375,True,True,False,False,"train=0.03s, enc_infer=3.66s, ct_size=326.4 KiB"
Only HE,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.8225925925925927,3.504798499999879,100525.90625,True,True,False,False,"train=0.03s, enc_infer=3.48s, ct_size=326.4 KiB"
Only HE,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8624074074074073,3.264985400000114,100499.13671875,True,True,False,False,"train=0.04s, enc_infer=3.23s, ct_size=326.3 KiB"
