name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Only Blockchain,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,0.01235869999800343,25.921875,True,True,True,True,"chain_blocks=3, accepted=4"
Only FL,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9497767857142857,0.060571499998332,26.25,False,True,False,False,"rounds=30, local_epochs=5"
Only HE,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9508928571428572,1.0085973000022932,39181.875,True,True,False,False,"train=0.01s, enc_infer=1.00s, ct_size=326.5 KiB"
Naresh HELR (Review),0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.9508928571428572,278.93500199999835,2694199.046875,False,False,False,False,"epochs=8, train=271.5s, enc_infer=7.42s, forward=194.8s, poly_sig=71.1s, decrypt=5.5s"
Firdaus BC-FL-HE (Review),0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9475446428571429,1.8231568999981391,39177.32421875,False,False,True,False,"clusters=2, blocks=62, accepted=120, rejected=0, top_rewards={'H2': 24.02127659574468, 'H0': 23.787234042553187, 'H3': 18.617021276595743}"
Hybrid (Lite),0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9475446428571429,3.7934399000005214,66753.595703125,False,False,True,True,"clusters=2, blocks=62, accepted=120, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=1.97s"
Hybrid (Full Proposal),0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9375,189.25783880000017,84400.0400390625,False,False,True,True,"rounds=8, n_clients=4, n_edges=4, f=1, byzantine=None, accepted=32, rej_sig=0, rej_norm=0, rej_acc=0, rej_rep=0, consensus_fail=0, chain_blocks=17, enc_infer=14.74s"
